"Date","Price","Open","High","Low","Vol.","Change %"
"12/20/2023","35,170","34,765","35,170","34,750","6.10M","1.93%"
"12/19/2023","34,505","34,385","34,525","34,280","2.49M","0.09%"
"12/18/2023","34,475","34,455","34,515","34,280","1.82M","0.32%"
"12/17/2023","34,365","34,365","34,365","34,365","","0.00%"
"12/15/2023","34,365","34,280","34,680","34,280","3.81M","0.57%"
"12/14/2023","34,170","34,220","34,375","34,055","3.96M","1.21%"
"12/13/2023","33,760","34,075","34,075","33,745","3.36M","-0.97%"
"12/12/2023","34,090","34,035","34,195","34,025","9.04M","0.41%"
"12/11/2023","33,950","33,905","33,950","33,690","4.49M","0.34%"
"12/08/2023","33,835","33,630","33,855","33,615","5.72M","1.45%"
"12/07/2023","33,350","33,375","33,505","33,250","5.65M","-0.39%"
"12/06/2023","33,480","33,530","33,675","33,480","4.94M","0.33%"
"12/05/2023","33,370","33,585","33,610","33,370","2.58M","-1.10%"
"12/04/2023","33,740","33,810","33,890","33,680","3.61M","0.51%"
"12/03/2023","33,570","33,570","33,570","33,570","","0.00%"
"12/01/2023","33,570","33,780","33,780","33,550","2.83M","-1.13%"
"11/30/2023","33,955","33,685","33,955","33,595","2.65M","0.58%"
"11/29/2023","33,760","33,815","33,815","33,530","2.59M","-0.32%"
"11/28/2023","33,870","33,600","33,870","33,570","2.40M","1.15%"
"11/27/2023","33,485","33,535","33,695","33,370","2.36M","-0.12%"
"11/26/2023","33,525","33,525","33,525","33,525","","0.00%"
"11/24/2023","33,525","33,790","33,855","33,515","1.99M","-0.78%"
"11/23/2023","33,790","33,800","33,895","33,650","2.35M","0.01%"
"11/22/2023","33,785","33,490","33,850","33,430","2.89M","0.18%"
"11/21/2023","33,725","33,730","33,875","33,670","3.67M","0.48%"
"11/20/2023","33,565","33,250","33,680","33,220","4.57M","0.80%"
"11/19/2023","33,300","33,300","33,300","33,300","","0.00%"
"11/17/2023","33,300","33,445","33,460","33,210","3.64M","-0.51%"
"11/16/2023","33,470","33,470","33,575","33,315","2.74M","-0.07%"
"11/15/2023","33,495","33,470","33,520","33,220","6.97M","2.17%"
"11/14/2023","32,785","32,725","32,880","32,695","2.85M","1.03%"
"11/13/2023","32,450","32,795","32,815","32,345","4.03M","-0.08%"
"11/12/2023","32,475","32,475","32,475","32,475","","0.00%"
"11/10/2023","32,475","32,335","32,495","32,215","2.89M","-0.57%"
"11/09/2023","32,660","32,505","32,780","32,445","2.06M","0.48%"
"11/08/2023","32,505","33,050","33,110","32,420","2.73M","-0.93%"
"11/07/2023","32,810","33,155","33,215","32,490","5.52M","-1.81%"
"11/06/2023","33,415","32,445","33,415","32,335","6.73M","4.68%"
"11/03/2023","31,920","31,900","31,985","31,765","1.94M","1.01%"
"11/02/2023","31,600","31,600","31,750","31,520","3.95M","1.66%"
"11/01/2023","31,085","30,855","31,150","30,840","2.23M","1.39%"
"10/31/2023","30,660","31,205","31,270","30,625","2.90M","-1.22%"
"10/30/2023","31,040","30,810","31,120","30,800","2.32M","0.27%"
"10/29/2023","30,955","30,955","30,955","30,955","","-0.32%"
"10/27/2023","31,055","31,165","31,230","30,940","3.87M","0.10%"
"10/26/2023","31,025","31,355","31,420","30,995","4.56M","-2.56%"
"10/25/2023","31,840","32,105","32,120","31,830","2.89M","-0.55%"
"10/24/2023","32,015","31,920","32,035","31,375","4.23M","0.77%"
"10/23/2023","31,770","31,905","31,985","31,715","2.43M","-0.53%"
"10/22/2023","31,940","31,940","31,940","31,940","","0.00%"
"10/20/2023","31,940","32,175","32,200","31,815","4.27M","-1.51%"
"10/19/2023","32,430","32,635","32,675","32,410","2.55M","-1.91%"
"10/18/2023","33,060","32,835","33,090","32,825","1.86M","0.43%"
"10/17/2023","32,920","32,750","32,995","32,680","1.91M","1.23%"
"10/16/2023","32,520","32,610","32,755","32,320","2.18M","-0.76%"
"10/13/2023","32,770","32,755","32,880","32,685","1.96M","-0.88%"
